ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE,MATCHED_CTPRVN_CD,MATCHED_CTPRVN_NM
KCLANPO23N000034623,장소,관광지,20868127,왕산한옥마을,,,60517,먹거리/패션거리,5115032021103790000,강원특별자치도,강릉시,왕산면,도마리,379,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220,105,강릉
KCLANPO23N000001260,장소,관광지,8268247,단경골휴양지,,,60503,휴양림/수목원,5115034031114250000,강원특별자치도,강릉시,강동면,언별리,1425,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220,105,강릉
KCLANPO23N000001259,장소,관광지,8268245,대관령자연휴양림,,,60503,휴양림/수목원,5115031027200020001,강원특별자치도,강릉시,성산면,어흘리,산2-1,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220,105,강릉
KCLANPO23N000043637,장소,관광지,22137354,강릉김씨네탱자나무집,,,60518,팜스테이,5115012100102820002,강원특별자치도,강릉시,노암동,,282-2,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220,105,강릉
KCLANPO23N000001239,장소,관광지,8268212,부연동마을휴양지,,,60503,휴양림/수목원,5115037028114590000,강원특별자치도,강릉시,연곡면,삼산리,1459,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220,105,강릉
KCLANPO23N000050115,장소,관광지,22991119,한옥시호일,,,60518,팜스테이,5115012100102310018,강원특별자치도,강릉시,노암동,,231-18,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220,105,강릉
KCLANPO23N000014721,장소,관광지,16496547,작은구지리계곡,,,60504,폭포/계곡,5115037028200010002,강원특별자치도,강릉시,연곡면,삼산리,산1-2,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220,105,강릉
KCLANPO23N000014698,장소,관광지,16496402,구룡폭계곡,,,60504,폭포/계곡,5115037028203330000,강원특별자치도,강릉시,연곡면,삼산리,산333,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220,105,강릉
KCLANPO23N000005187,장소,관광지,10806270,강릉굴산사지당간지주,,,60603,유명사적/유적지,5115033022105970000,강원특별자치도,강릉시,구정면,학산리,597,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220,105,강릉
KCLANPO23N000014640,장소,관광지,16493371,천성폭포,,,60504,폭포/계곡,5115032023201000004,강원특별자치도,강릉시,왕산면,왕산리,산100-4,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220,105,강릉
